dataset	bioproject	genome
cyprinus_carpio	PRJNA548074	
danio_aesculapii	PRJNA548074	
danio_albolineatus	PRJNA548074	
danio_choprae	PRJNA548074	
danio_kyathit	PRJNA548074	
gadus_morhua	PRJNA548074	https://osf.io/4qsdw/download
gymnocorymbus_ternetzi	PRJNA548074	
gymnotus_carapo	PRJNA548074	
hippocampus_abdominalis	PRJNA548074	
lepisosteus_oculatus	PRJNA548074	
notothenia_rossii	PRJNA548074	
plecoglossus_altivelis	PRJNA548074	
poecilia_sphenops	PRJNA548074	
sander_vitreus	PRJNA548074	
tinca_tinca	PRJNA548074	
oryzias_latipes	PRJNA253959	ftp://ftp.ensembl.org/pub/release-75/fasta/oryzias_latipes/dna/Oryzias_latipes.MEDAKA1.75.dna_sm.toplevel.fa.gz


















